"AAPL","2017-12-18",174.88,177.2,174.86,176.42,176.42,28831533,0,1
"AMZN","2017-12-18",1187.37,1194.78,1180.91,1190.58,1190.58,2767271,0,1
"GOOG","2017-12-18",1066.08,1078.49,1062,1077.14,1077.14,1552016,0,1
"TWTR","2017-12-18",23.24,24.74,23.13,24.68,24.68,48506629,0,1
